"pattern_id","pattern_name","liujing","symptom_list","pulse_list","tongue_list","jianjia_list","clause"
"fj:GuiZhiJiaHuangQiTang","桂枝加黄芪汤证","lj:Taiyang_Instance","zz:HuangHan,zz:LiangJingLeng,zz:YaoYiShangHanChu,zz:YaoKuiChiTong","","","","【9.92】"
"fj:XiaoJianZhongTang","小建中汤证（阳明）","lj:Yangming_Instance","zz:HuangDan,zz:XiaoBianZiLi,zz:XuLaoLiJi,zz:FuTong","","","","【9.93】"
"fj:LiZhongTang","理中汤证（阳明）","lj:Yangming_Instance","zz:FuTongRaoQi,zz:GuQiBuXing","","","","【9.98】"
"fj:HouPoQiWuTang","厚朴七物汤证","lj:Yangming_Instance","zz:FaRe,zz:FuMan,zz:YinShiRuGu","","","","【9.99】"
"fj:FuZiJingMiTang","附子粳米汤证","lj:Taiyin_Instance","zz:FuZhongQieTong,zz:LeiMing,zz:NiMan,zz:OuTu","","","","【9.100】"
"fj:DaJianZhongTang","大建中汤证","lj:Taiyin_Instance","zz:FuZhongHanTong,zz:OuBuNengShi,zz:YouWuTuQi,zz:TongBuKeJin","","","","【9.101】"
"fj:DaHuangFuZiXiXinTang","大黄附子细辛汤证","lj:Taiyin_Instance","zz:FuMan,zz:XieXiaPianTong,zz:FaWeiRe","","","","【9.102】"
"fj:ChaiHuShaoYaoZhiShiGanCaoTang","柴胡芍药枳实甘草汤证","lj:Shaoyang_Instance","zz:QiShangNi,zz:XieXiaTong,zz:OuNi","","","","【10.5】"
"fj:GuiZhiJiaShaoYaoTang","桂枝加芍药汤证","lj:Taiyin_Instance","zz:FuManShiTong","","","","【10.17】"
"fj:GuiZhiJiaDaHuangTang","桂枝加大黄汤证","lj:Taiyin_Instance","zz:DaShiTong","","","","【10.17】"
"fj:BaiZhuZhiShiGanJiangBaiMiTang","白术枳实干姜白蜜汤证","lj:Taiyin_Instance","zz:DaBianFanYing,zz:FuZhongZhangMan","","","","【10.19】"
"fj:HuangQiWuWuJiaGanJiangBanXiaTang","黄芪五物加干姜半夏汤证","lj:Taiyin_Instance","zz:DuanQi","","","","【10.19】"
"fj:BanXiaFuLingTang","半夏茯苓汤证","lj:Taiyin_Instance","zz:KeYuYinShui,zz:YinShuiJiTu","","","","【10.20】"
"fj:RenShenBaiZhuShaoYaoGanCaoTang","人参白术芍药甘草汤证","lj:Taiyin_Instance","zz:XiaLi,zz:KouKe","","","","【10.21】"
"fj:HouPoSiWuTang","厚朴四物汤证","lj:Taiyin_Instance","zz:FuDaErZhang","","","","【10.22】"
"fj:LiZhongJiaHuangQiTang","理中加黄芪汤证","lj:Taiyin_Instance","zz:YiShiWuDu","","","","【10.23】"
"fj:GuiZhiQuShaoYaoJiaFuLingBaiZhuTang","桂枝去芍药加茯苓白术汤证","lj:Taiyin_Instance","zz:YuTuBuTu,zz:XiaLiShiShu","","","","【10.24】"
"fj:XiaoChaiHuJiaFuLingBaiZhuTang","小柴胡加茯苓白术汤证","lj:Taiyin_Instance","zz:TuNi,zz:FuZhongLengTong,zz:LeiMingXiaLi","","","","【10.25】"
"fj:HouPoZhiShiBaiZhuGanCaoTang","厚朴枳实白术甘草汤证","lj:Taiyin_Instance","zz:YouSuShi,zz:DaBianTang","","","","【10.26】"
"fj:MaHuangFuZiXiXinTang","麻黄附子细辛汤证","lj:Shaoyin_Instance","zz:FaRe,zz:EHan","","","","【11.21】"
"fj:MaHuangFuZiGanCaoTang","麻黄附子甘草汤证","lj:Shaoyin_Instance","zz:WeiFaRe","","","","【11.22】"
"fj:HuangLianEJiaoTang","黄连阿胶汤证","lj:Shaoyin_Instance","zz:XinFan,zz:BuDeWo","","","","【11.23】"
"fj:FuZiTang","附子汤证","lj:Shaoyin_Instance","zz:ShenTiTong,zz:ShouZuHan,zz:GuJieTong,zz:BeiEHan","","","","【11.24】"
"fj:DangGuiSiNiTang","当归四逆汤证","lj:Shaoyin_Instance","zz:ShenTongRuChe","","","","【11.26】"
"fj:TaoHuaTang","桃花汤证","lj:Shaoyin_Instance","zz:XiaLiBianNongXue","","","","【11.27】"
"fj:ZhuFuTang","猪肤汤证","lj:Shaoyin_Instance","zz:XiaLi,zz:YanTong,zz:XiongMan,zz:XinFan","","","","【11.31】"
"fj:JieGengTang","桔梗汤证","lj:Shaoyin_Instance","zz:YanZhongTong","","","","【11.32】"
"fj:KuJiuTang","苦酒汤证","lj:Shaoyin_Instance","zz:YanZhongShang,zz:ShengChuang,zz:TongYinHouPang,zz:ShiYin,zz:ShengBuChu","","","","【11.33】"
"fj:BanXiaSanJiTang","半夏散及汤证","lj:Shaoyin_Instance","zz:YanZhongTong","","","","【11.34】"
"fj:BaiTongTang","白通汤证","lj:Shaoyin_Instance","zz:XiaLi","","","","【11.35】"
"fj:BaiTongJiaZhuDanZhiTang","白通加猪胆汁汤证","lj:Shaoyin_Instance","zz:XiaLi,zz:LiBuZhi,zz:JueNiWuMai,zz:GanOuFan","","","","【11.36】"
"fj:ZhenWuTang","真武汤证","lj:Shaoyin_Instance","zz:FuTong,zz:XiaoBianBuLi,zz:SiZhiChenZhong,zz:ZiXiaLi","","","","【11.37】"
"fj:TongMaiSiNiTang","通脉四逆汤证（少阴）","lj:Shaoyin_Instance","zz:XiaLiQingGu,zz:LiHanWaiRe,zz:ShouZuJueNi,zz:MaiWeiYuJue,zz:ShenFanBuEHAN,zz:MianChi","","","","【11.38】"
"fj:SiNiSan","四逆散证","lj:Shaoyin_Instance","zz:SiZhiJueNi,zz:Ke,zz:Ji,zz:XiaoBianBuLi,zz:FuTong,zz:XieLiXiaZhong","","","","【11.39】"
"fj:ZhuLingTang","猪苓汤证（少阴）","lj:Shaoyin_Instance","zz:XiaLi,zz:Ke,zz:Ou,zz:Ke,zz:XinFanBuDeMian","","","","【11.40】"
"fj:DaChengQiTang_JiXia","大承气汤证（少阴急下）","lj:Shaoyin_Instance","zz:KouZaoYanGan","","","","【11.41】"
"fj:DaChengQiTang_ZiLiQingShui","大承气汤证（少阴自利清水）","lj:Shaoyin_Instance","zz:ZiLiQingShui,zz:XinXiaBiTong,zz:KouGanZao","","","","【11.42】"
"fj:DaChengQiTang_ZhangMan","大承气汤证（少阴腹胀）","lj:Shaoyin_Instance","zz:FuZhang","","","","【11.43】"
"fj:SiNiTang_JiWen","四逆汤证（少阴脉沉）","lj:Shaoyin_Instance","zz:MaiChen","","","","【11.44】"
"fj:WuMeiWan","乌梅丸证","lj:Jueyin_Instance","zz:XiaoKe,zz:QiShangZhuangXin,zz:XinZhongTengRe,zz:JiErBuYuShi,zz:ShiZeTuHui","mx:Pulse_Xian","","","【11.47】"
"fj:DangGuiSiNiJiaRenShenFuZiTang","当归四逆加人参附子汤证","lj:Jueyin_Instance","zz:ShouZuJueNi","","","","【11.72】"
"fj:DangGuiSiNiJiaWuZhuYuShengJiangFuZiTang","当归四逆加吴茱萸生姜附子汤证","lj:Jueyin_Instance","zz:NeiYouJiuHan","","","","【11.72】"
"fj:SiNiTang_Jueyin","四逆汤证（厥阴）","lj:Jueyin_Instance","zz:DaHanChu,zz:ReBuQu,zz:NeiJuJi,zz:SiZhiTeng,zz:XiaLi,zz:JueNiErEHAN","","","","【11.73】"
"fj:GuaDiSan_Jueyin","瓜蒂散证（厥阴）","lj:Jueyin_Instance","zz:ShouZuJueLeng,zz:XinXiaMan,zz:Fan,zz:JiBuNengShi","","","","【11.75】"
"fj:FuLingGanCaoTang","茯苓甘草汤证（厥阴）","lj:Jueyin_Instance","zz:JueErXinXiaJi","","","","【11.76】"
"fj:RenShenFuZiTang","人参附子汤证","lj:Jueyin_Instance","zz:YiXia,zz:YanHouBuLi,zz:TuNongXue","","","","【11.77】"
"fj:MaHuangShengMaTang","麻黄升麻汤证","lj:Jueyin_Instance","zz:HanGe,zz:TuXia","","","","【11.79】"
"fj:GanJiangHuangQinHuangLianRenShenTang","干姜黄芩黄连人参汤证","lj:Jueyin_Instance","zz:ShiRuKouJiTu","","","","【11.79】"
"fj:BaiTouWengTang","白头翁汤证（厥阴）","lj:Jueyin_Instance","zz:ReLi,zz:XiaZhong","","","","【11.91】"
"fj:BaiTouWengJiaEJiaoGanCaoTang","白头翁加阿胶甘草汤证","lj:Jueyin_Instance","zz:XiaLi,zz:XuJi","","","","【11.92】"
"fj:XiaoChengQiTang_Jueyin","小承气汤证（厥阴）","lj:Jueyin_Instance","zz:XiaLi,zz:ZhanYu","","","","【11.95】"
"fj:ZhiZiChiTang_Jueyin","栀子豉汤证（厥阴）","lj:Jueyin_Instance","zz:XiaLi,zz:GengFan,zz:AnZhiXinXiaRu","","","","【11.96】"
"fj:ZiCanTang","紫参汤证","lj:Jueyin_Instance","zz:XiaLi,zz:FuTong","","","","【11.97】"
"fj:HeLiLeSan","诃黎勒散证","lj:Jueyin_Instance","zz:QiLi","","","","【11.98】"
"fj:JuPiTang","橘皮汤证","lj:Jueyin_Instance","zz:GanOu,zz:ShouZuJue","","","","【11.108】"
"fj:JuPiZhuRuTang","橘皮竹茹汤证","lj:Jueyin_Instance","zz:NiNi,zz:Xu","","","","【11.109】"
"fj:XiaoBanXiaTang_ZhuOu","小半夏汤证（诸呕）","lj:Jueyin_Instance","zz:ZhuOu,zz:GuBuDeXia","","","","【11.110】"
"fj:HuangLianFuLingTang","黄连茯苓汤证","lj:Jueyin_Instance","zz:BianNongXue,zz:ChuanWeiWeiBing","","","","【11.111】"
"fj:GanCaoFenMiTang","甘草粉蜜汤证","lj:Jueyin_Instance","zz:TuOuXianMo,zz:XinTong,zz:FuTong,zz:FaZuoYouShi","","","","【11.112】"
"fj:DaWuTouJian","大乌头煎证","lj:Jueyin_Instance","zz:HanShan,zz:RaoQiErTong,zz:ShouZuJueLeng","","","","【11.113】"
"fj:DangGuiShengJiangYangRouTang","当归生姜羊肉汤证","lj:Jueyin_Instance","zz:HanShan,zz:FuZhongTong,zz:XieTongLiJi","","","","【11.114】"
"fj:WuTouGuiZhiTang","乌头桂枝汤证","lj:Jueyin_Instance","zz:HanShan,zz:FuZhongTong,zz:ShouZuBuRen,zz:NiLeng,zz:ShenTiTengTong","","","","【11.115】"
"fj:ZhiZhuSan","蜘蛛散证","lj:Jueyin_Instance","zz:GuShan,zz:PianYouDaXiao,zz:ShiYouShangXia","","","","【11.116】"
"fj:ShenQiWan","肾气丸证","lj:Shaoyin_Instance","zz:XiaoKe,zz:XiaoBianDuo,zz:YinDouYiDou","","","","【11.119】"
"fj:WuLingSan_XiaoKe","五苓散证（消渴）","lj:Taiyang_Instance","zz:XiaoKe,zz:XiaoBianBuLi","","","","【11.120】"
"fj:FuLingZeXieTang","茯苓泽泻汤证","lj:Taiyang_Instance","zz:XiaoKe,zz:WeiFanErTu","","","","【11.121】"
"fj:WenHaTang","文蛤汤证","lj:Taiyang_Instance","zz:XiaoKe,zz:ShiBuXiuXi","","","","【11.122】"
"fj:GuaLouGuiZhiTang","栝楼桂枝汤证","lj:Taiyang_Instance","zz:ShenTiQiangJiJi,zz:Ren","mx:Pulse_Chen, mx:Pulse_Chi","","","【金匮2-11】"
"fj:GeGenTang_JinKui","葛根汤证（金匮）","lj:Taiyang_Instance","zz:WuHan,zz:XiaoBianFanShao,zz:QiShangChongXiong,zz:KouJinBuDeYu","","","","【金匮2-12】"
"fj:DaChengQiTang_JinKui","大承气汤证（金匮）","lj:Yangming_Instance","zz:XiongMan,zz:KouJin,zz:WoBuZhaoXi,zz:JiaoLuanJi,zz:JieChi","","","","【金匮2-13】"
"fj:MaHuangJiaZhuTang","麻黄加术汤证","lj:Taiyang_Instance","zz:ShenFanTeng","","","","【金匮2-20】"
"fj:MaHuangXingRenYiYiGanCaoTang","麻黄杏仁薏苡甘草汤证","lj:Taiyang_Instance","zz:ShenYiShenTeng,zz:FaRe,zz:RiBuSuoJu","","","","【金匮2-21】"
"fj:FangJiHuangQiTang","防己黄芪汤证","lj:Taiyang_Instance","zz:FuShenZhong,zz:HanChu,zz:EFeng","mx:Pulse_Fu","","","【金匮2-22】"
"fj:GuiZhiFuZiTang","桂枝附子汤证","lj:Taiyang_Instance","zz:ShenTiTengFan,zz:BuNengZiZhuanCe,zz:BuOu,BuKe","mx:Pulse_Fu, mx:Pulse_Xu, mx:Pulse_Se","","","【金匮2-23】"
"fj:BaiZhuFuZiTang","白术附子汤证","lj:Taiyang_Instance","zz:ShenTiTengFan,zz:DaBianJian,zz:XiaoBianZiLi","mx:Pulse_Fu, mx:Pulse_Xu, mx:Pulse_Se","","","【金匮2-23】"
"fj:GanCaoFuZiTang","甘草附子汤证","lj:Taiyang_Instance","zz:GuJieTengFan,zz:CheTong,zz:HanChu,zz:DuanQi,zz:XiaoBianBuLi,zz:EFeng","","","","【金匮2-24】"
"fj:BaiHuJiaRenShenTang_JinKui","白虎加人参汤证（金匮）","lj:Yangming_Instance","zz:HanChu,zz:EFeng,zz:ShenRe,zz:Ke","mx:Pulse_Hong","","","【金匮2-26】"
"fj:YiWuGuaDiTang","一物瓜蒂汤证","lj:Taiyang_Instance","zz:ShenRe,zz:TengZhong","mx:Pulse_Wei, mx:Pulse_Ruo","","","【金匮2-27】"
"fj:BaiHeZhiMuTang","百合知母汤证","lj:Taiyang_Instance","BaiHeBing","","","","【金匮3-1】"
"fj:BaiHeHuaShiDaiZheTang","百合滑石代赭汤证","lj:Taiyang_Instance","BaiHeBing","","","","【金匮3-2】"
"fj:BaiHeJiZiHuangTang","百合鸡子黄汤证","lj:Taiyang_Instance","BaiHeBing","","","","【金匮3-3】"
"fj:BaiHeDiHuangTang","百合地黄汤证","lj:Taiyang_Instance","BaiHeBing,zz:KouKu,zz:XiaoBianChi","mx:Pulse_Wei, mx:Pulse_Shu","","","【金匮3-5】"
"fj:BaiHeXiFang","百合洗方证","lj:Taiyang_Instance","BaiHeBing,BianChengKe","","","","【金匮3-6】"
"fj:GuaLouMuLiSan","栝蒌牡蛎散证","lj:Taiyang_Instance","BaiHeBing,BianChengKe","","","","【金匮3-6】"
"fj:BaiHeHuaShiSan","百合滑石散证","lj:Taiyang_Instance","BaiHeBing,BianFaRe","","","","【金匮3-7】"
"fj:GanCaoXieXinTang_JinKui","甘草泻心汤证（金匮）","lj:Taiyang_Instance","HuHuoBing,zz:ShengGa,zz:MuBuDeBi,zz:WoQiBuAn","","","","【金匮3-10】"
"fj:KuShenTang","苦参汤方证","lj:Taiyang_Instance","HuHuoBing,ShiYuXiaBu,YanGan","","","","【金匮3-10】"
"fj:XiongHuangSan","雄黄散方证","lj:Taiyang_Instance","HuHuoBing,ShiYuGang","","","","【金匮3-10】"
"fj:ChiXiaoDouDangGuiSan","赤小豆当归散证","lj:Taiyang_Instance","MuChiRuJiuYan,zz:MuSiJieHei,zz:NengShi","","","","【金匮3-13】"
"fj:ShengMaBieJiaTang","升麻鳖甲汤证","lj:Taiyang_Instance","MianChiBanBanRuJinWen,zz:YanHouTong,zz:TuoNongXue","","","","【金匮3-14】"
"fj:ShengMaBieJiaQuXiongHuangShuJiaoTang","升麻鳖甲去雄黄蜀椒汤证","lj:Taiyang_Instance","MianMuQing,zz:ShenTongRuBeiZhang,zz:YanHouTong","","","","【金匮3-15】"
"fj:BieJiaJianWan","鳖甲煎丸证","lj:Shaoyang_Instance","NueMu","","","","【金匮4-2】"
"fj:BaiHuJiaGuiZhiRenShenTang","白虎加桂枝人参汤证","lj:Yangming_Instance","DanRe,zz:ShaoQi,Fan,zz:ShouZuRe,zz:YuOu","","","","【金匮4-4】"
"fj:BaiHuJiaGuiZhiTang","白虎加桂枝汤证","lj:Yangming_Instance","ShenWuHanDanRe,zz:GuJieTengFan,zz:ShiZuoOu","","","","【金匮4-5】"
"fj:ShuQiSan","蜀漆散证","lj:Shaoyang_Instance","DuoHan,zz:DanHanBuRe","","","","【金匮4-6】"
"fj:ChaiHuGuiJiangTang","柴胡桂姜汤证","lj:Shaoyang_Instance","NueDuoHan,zz:DanHanBuRe","","","","【金匮4-6】"
"fj:GuiZhiShaoYaoZhiMuTang","桂枝芍药知母汤证","lj:Jueyin_Instance","ZhiJieTengTong,zz:ShenTiWangLei,zz:JiaoZhongRuTuo,zz:TouXuanDuanQi,zz:YuTu","","","","【金匮5-8】"
"fj:WuTouTang","乌头汤证","lj:Taiyang_Instance","LiJieBuKeQuShen,zz:TengTong","","","","【金匮5-10】"
"fj:QiWeiShuQiWan","肾气丸证（虚劳）","lj:Shaoyin_Instance","XuLaoYaoTong,zz:ShaoFuJuJi,zz:XiaoBianBuLi","","","","【金匮6-15】"
