symptomIris,pulseIris,tongueIris,fuzhengIris,病证,兼夹证,方剂,组成的药方,加减药物
http://www.tcm-classics.org/jingfang#WanglaiHanre_instance;http://www.tcm-classics.org/jingfang#XiongxieManWeijie_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance;http://www.tcm-classics.org/jingfang#KeErBuOu_instance;http://www.tcm-classics.org/jingfang#DanTouHanchu_instance;http://www.tcm-classics.org/jingfang#Xinfan_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,厥阴病,痰饮证,柴胡桂枝干姜汤,柴胡;桂枝;干姜;瓜蒌根;黄芩;牡蛎;甘草,
http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Ehan_instance;http://www.tcm-classics.org/jingfang#Wuhan_instance;http://www.tcm-classics.org/jingfang#DanreBuhan_instance;http://www.tcm-classics.org/jingfang#Kouke_instance;http://www.tcm-classics.org/jingfang#DaHan_instance;http://www.tcm-classics.org/jingfang#WanglaiHanre_instance;http://www.tcm-classics.org/jingfang#XiongxieKuman_instance;http://www.tcm-classics.org/jingfang#Kouku_instance;http://www.tcm-classics.org/jingfang#Fuman_instance;http://www.tcm-classics.org/jingfang#Shenzhong_instance;http://www.tcm-classics.org/jingfang#Nanyizhuance_instance;http://www.tcm-classics.org/jingfang#Kouburen_instance;http://www.tcm-classics.org/jingfang#Miangou_instance;http://www.tcm-classics.org/jingfang#Zhanwang_instance;http://www.tcm-classics.org/jingfang#Yiniao_instance;http://www.tcm-classics.org/jingfang#DanYuMei_instance;http://www.tcm-classics.org/jingfang#MuHeZeHan_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Hongdamai_instance;http://www.tcm-classics.org/jingfang#Xianmai_instance,,,三阳合病,,柴胡白虎汤,柴胡;黄芩;人参;半夏;甘草;生姜;大枣;石膏;知母;粳米,
http://www.tcm-classics.org/jingfang#WanglaiHanre_instance;http://www.tcm-classics.org/jingfang#XiongxieKuman_instance;http://www.tcm-classics.org/jingfang#Kouku_instance;http://www.tcm-classics.org/jingfang#Citong_instance;http://www.tcm-classics.org/jingfang#XiongMan_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance;http://www.tcm-classics.org/jingfang#Semai_instance,http://www.tcm-classics.org/jingfang#SheZiAn_instance,,少阳病,瘀血证,小柴胡汤,柴胡;黄芩;人参;半夏;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#WanglaiHanre_instance;http://www.tcm-classics.org/jingfang#XiongxieKuman_instance;http://www.tcm-classics.org/jingfang#Kouku_instance;http://www.tcm-classics.org/jingfang#Touxuan_instance;http://www.tcm-classics.org/jingfang#Xinji_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance;http://www.tcm-classics.org/jingfang#ChenXianHuamai_instance,http://www.tcm-classics.org/jingfang#SheTaiHuaNi_instance,,少阳病,痰饮证,小柴胡汤,柴胡;黄芩;人参;半夏;甘草;生姜;大枣,茯苓
http://www.tcm-classics.org/jingfang#WanglaiHanre_instance;http://www.tcm-classics.org/jingfang#XiongxieKuman_instance;http://www.tcm-classics.org/jingfang#Kouku_instance;http://www.tcm-classics.org/jingfang#HeiheiBuyuYinshi_instance;http://www.tcm-classics.org/jingfang#XinfanXiou_instance;http://www.tcm-classics.org/jingfang#QingzhiYiyu_instance;http://www.tcm-classics.org/jingfang#ShanTaixi_instance;http://www.tcm-classics.org/jingfang#YanZhongRuYouZhiLian_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,少阳病,气郁证,小柴胡汤,柴胡;黄芩;人参;半夏;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#XinxiaPi_instance;http://www.tcm-classics.org/jingfang#Xiali_instance,http://www.tcm-classics.org/jingfang#ChenXianHuamai_instance,,,太阴病,痰饮证,甘遂半夏汤,甘遂;半夏;芍药;甘草,
http://www.tcm-classics.org/jingfang#Futong_instance;http://www.tcm-classics.org/jingfang#XiongxieKuman_instance;http://www.tcm-classics.org/jingfang#Outu_instance;http://www.tcm-classics.org/jingfang#Changming_instance,http://www.tcm-classics.org/jingfang#Chenchimai_instance,,,太阴病,,附子粳米汤,附子;半夏;粳米;甘草;大枣,
http://www.tcm-classics.org/jingfang#XiaobianBuli_instance;http://www.tcm-classics.org/jingfang#Kouke_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,厥阴病,痰饮证,栝楼瞿麦丸,瓜蒌根;附子;茯苓;山药;瞿麦,
http://www.tcm-classics.org/jingfang#XiangbeiQiangjiji_instance;http://www.tcm-classics.org/jingfang#Hanchu_instance;http://www.tcm-classics.org/jingfang#Efeng_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Huanmai_instance,,,太阳病,,桂枝加葛根汤,葛根;桂枝;芍药;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#Chuan_instance;http://www.tcm-classics.org/jingfang#Hanchu_instance;http://www.tcm-classics.org/jingfang#Efeng_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Huanmai_instance,,,太阳病,,桂枝加厚朴杏子汤,桂枝;芍药;甘草;生姜;大枣;厚朴;杏仁,
http://www.tcm-classics.org/jingfang#Hanloubuzhi_instance;http://www.tcm-classics.org/jingfang#Efeng_instance;http://www.tcm-classics.org/jingfang#XiaobianNan_instance;http://www.tcm-classics.org/jingfang#SizhiWeiji_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Xumai_instance,,,太阳病,,桂枝加附子汤,桂枝;芍药;甘草;生姜;大枣;附子,
http://www.tcm-classics.org/jingfang#XiongMan_instance;http://www.tcm-classics.org/jingfang#Ehan_instance,http://www.tcm-classics.org/jingfang#Cumai_instance,,,太阳病,,桂枝去芍药汤,桂枝;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#XiongMan_instance;http://www.tcm-classics.org/jingfang#Ehan_instance,,,太阳病,,桂枝去芍药加附子汤,桂枝;甘草;生姜;大枣;附子,
http://www.tcm-classics.org/jingfang#ShenTengtong_instance;http://www.tcm-classics.org/jingfang#Ehan_instance,http://www.tcm-classics.org/jingfang#Chenchimai_instance,,,太阳病,,桂枝新加汤,桂枝;芍药;甘草;生姜;大枣;人参,
http://www.tcm-classics.org/jingfang#XiangbeiQiangjiji_instance;http://www.tcm-classics.org/jingfang#Wuhan_instance;http://www.tcm-classics.org/jingfang#Efeng_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Jinmai_instance,,,太阳病,,葛根汤,葛根;麻黄;桂枝;芍药;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#XiangbeiQiangjiji_instance;http://www.tcm-classics.org/jingfang#Wuhan_instance;http://www.tcm-classics.org/jingfang#Outu_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Jinmai_instance,,,太阳阳明合病,,葛根加半夏汤,葛根;麻黄;桂枝;芍药;甘草;生姜;大枣;半夏,
http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Ehan_instance;http://www.tcm-classics.org/jingfang#Shentengtong_instance;http://www.tcm-classics.org/jingfang#BuHanchu_instance;http://www.tcm-classics.org/jingfang#Fanzao_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Jinmai_instance,,,太阳病,,大青龙汤,麻黄;桂枝;甘草;杏仁;生姜;大枣;石膏,
http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Ehan_instance;http://www.tcm-classics.org/jingfang#Wuhan_instance;http://www.tcm-classics.org/jingfang#Kechuan_instance;http://www.tcm-classics.org/jingfang#Ganou_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Jinmai_instance,,,太阳病,痰饮证,小青龙汤,麻黄;芍药;细辛;干姜;甘草;桂枝;五味子;半夏,瓜蒌根;荛花;附子;茯苓;杏仁
http://www.tcm-classics.org/jingfang#Hanchu_instance;http://www.tcm-classics.org/jingfang#Chuan_instance;http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Kouke_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Shumai_instance,,,太阳病,,麻杏甘石汤,麻黄;杏仁;甘草;石膏,
http://www.tcm-classics.org/jingfang#Shenhuang_instance;http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Wuhan_instance;http://www.tcm-classics.org/jingfang#Ehan_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,太阳病,,麻黄连翘赤小豆汤,麻黄;连翘;杏仁;赤小豆;大枣;生梓白皮;生姜;甘草,
http://www.tcm-classics.org/jingfang#FareEhan_instance;http://www.tcm-classics.org/jingfang#Ruzhuang_instance;http://www.tcm-classics.org/jingfang#YiriZaifa_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,太阳病,,桂枝二麻黄一汤,桂枝;芍药;甘草;生姜;大枣;麻黄;杏仁,
http://www.tcm-classics.org/jingfang#FareEhan_instance;http://www.tcm-classics.org/jingfang#RemianRe_instance;http://www.tcm-classics.org/jingfang#Shenyang_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,太阳病,,桂枝麻黄各半汤,桂枝;芍药;甘草;生姜;大枣;麻黄;杏仁,
http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Kouke_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance;http://www.tcm-classics.org/jingfang#Shuiruzeitu_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,太阳病,,五苓散,猪苓;泽泻;白术;茯苓;桂枝,
http://www.tcm-classics.org/jingfang#Hanchu_instance;http://www.tcm-classics.org/jingfang#BuKe_instance;http://www.tcm-classics.org/jingfang#XinxiaJi_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,太阳病,,茯苓甘草汤,茯苓;桂枝;甘草;生姜,
http://www.tcm-classics.org/jingfang#XinzhongAonao_instance;http://www.tcm-classics.org/jingfang#FanreBudeMian_instance;http://www.tcm-classics.org/jingfang#Shaoqi_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,阳明病,,栀子豉汤,栀子;香豉,
http://www.tcm-classics.org/jingfang#Xinfan_instance;http://www.tcm-classics.org/jingfang#Fuman_instance;http://www.tcm-classics.org/jingfang#WoqiBuan_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,阳明病,,栀子厚朴汤,栀子;厚朴;枳实,
http://www.tcm-classics.org/jingfang#ShaofuJijie_instance;http://www.tcm-classics.org/jingfang#Rukuang_instance;http://www.tcm-classics.org/jingfang#XiaobianZili_instance,http://www.tcm-classics.org/jingfang#ChenSemai_instance,,,太阳病,,桃核承气汤,桃仁;大黄;桂枝;甘草;芒硝,
http://www.tcm-classics.org/jingfang#ShaofuYingman_instance;http://www.tcm-classics.org/jingfang#Rukuang_instance;http://www.tcm-classics.org/jingfang#XiaobianZili_instance,http://www.tcm-classics.org/jingfang#ChenJiemai_instance,,,太阳病,,抵当汤,水蛭;虻虫;桃仁;大黄,
http://www.tcm-classics.org/jingfang#XinxiaTong_instance;http://www.tcm-classics.org/jingfang#AnzhiShiying_instance,http://www.tcm-classics.org/jingfang#ChenJinmai_instance,,,太阳病,,大陷胸汤,大黄;芒硝;甘遂,
http://www.tcm-classics.org/jingfang#ZhengzaiXinxia_instance;http://www.tcm-classics.org/jingfang#AnzhiZeTong_instance,http://www.tcm-classics.org/jingfang#Fuhuamai_instance,,,太阳病,,小陷胸汤,黄连;半夏;瓜蒌实,
http://www.tcm-classics.org/jingfang#XinxiaPi_instance;http://www.tcm-classics.org/jingfang#Ou_instance;http://www.tcm-classics.org/jingfang#Changming_instance;http://www.tcm-classics.org/jingfang#Xiali_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,太阳病,,半夏泻心汤,半夏;黄芩;干姜;人参;甘草;黄连;大枣,
http://www.tcm-classics.org/jingfang#XinxiaPiying_instance;http://www.tcm-classics.org/jingfang#GantaiShichou_instance;http://www.tcm-classics.org/jingfang#FuzhongLeiming_instance;http://www.tcm-classics.org/jingfang#Xiali_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,太阳病,,生姜泻心汤,生姜;甘草;人参;干姜;黄芩;半夏;黄连;大枣,
http://www.tcm-classics.org/jingfang#XinxiaPiyingErMan_instance;http://www.tcm-classics.org/jingfang#XialiRishu_instance;http://www.tcm-classics.org/jingfang#Ganou_instance;http://www.tcm-classics.org/jingfang#XinfanBudean_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,太阳病,,甘草泻心汤,甘草;黄芩;干姜;半夏;大枣;黄连,
http://www.tcm-classics.org/jingfang#XinxiaPiying_instance;http://www.tcm-classics.org/jingfang#AqiBuchu_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,太阳病,,旋覆代赭汤,旋覆花;代赭石;人参;生姜;甘草;半夏;大枣,
http://www.tcm-classics.org/jingfang#XinxiaPiyingMan_instance;http://www.tcm-classics.org/jingfang#YinXiexiaTong_instance;http://www.tcm-classics.org/jingfang#Ganou_instance;http://www.tcm-classics.org/jingfang#Duanqi_instance,http://www.tcm-classics.org/jingfang#ChenXianmai_instance,,,太阳病,,十枣汤,芫花;甘遂;大戟;大枣,
http://www.tcm-classics.org/jingfang#Fuman_instance;http://www.tcm-classics.org/jingfang#Chaore_instance;http://www.tcm-classics.org/jingfang#Zhanwang_instance,http://www.tcm-classics.org/jingfang#Huamai_instance,,,阳明病,,小承气汤,大黄;厚朴;枳实,
http://www.tcm-classics.org/jingfang#ZhengzhengFare_instance;http://www.tcm-classics.org/jingfang#Fuzhangman_instance;http://www.tcm-classics.org/jingfang#Xinfan_instance,http://www.tcm-classics.org/jingfang#Chenshimai_instance,,,阳明病,,调胃承气汤,大黄;甘草;芒硝,
http://www.tcm-classics.org/jingfang#Dabianying_instance;http://www.tcm-classics.org/jingfang#XiaobianShu_instance,http://www.tcm-classics.org/jingfang#FuseMai_instance,,,阳明病,,麻子仁丸,麻子仁;芍药;枳实;大黄;厚朴;杏仁,
http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Kouke_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,阳明病,,猪苓汤,猪苓;茯苓;泽泻;阿胶;滑石,
http://www.tcm-classics.org/jingfang#Shenhuang_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance;http://www.tcm-classics.org/jingfang#Fuman_instance;http://www.tcm-classics.org/jingfang#Kouke_instance,http://www.tcm-classics.org/jingfang#Chenshimai_instance,,,阳明病,,茵陈蒿汤,茵陈蒿;栀子;大黄,
http://www.tcm-classics.org/jingfang#Shenhuang_instance;http://www.tcm-classics.org/jingfang#Fare_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,阳明病,,栀子柏皮汤,栀子;甘草;黄柏,
http://www.tcm-classics.org/jingfang#Xiali_instance;http://www.tcm-classics.org/jingfang#Shenre_instance;http://www.tcm-classics.org/jingfang#Chuan_instance;http://www.tcm-classics.org/jingfang#Hanchu_instance,http://www.tcm-classics.org/jingfang#Cumai_instance,,,太阳阳明合病,,葛根芩连汤,葛根;黄芩;黄连;甘草,
http://www.tcm-classics.org/jingfang#FareWeiEhan_instance;http://www.tcm-classics.org/jingfang#ZhijieFenteng_instance;http://www.tcm-classics.org/jingfang#Weiou_instance;http://www.tcm-classics.org/jingfang#XinxiaZhijie_instance,http://www.tcm-classics.org/jingfang#Fuxianmai_instance,,,太阳少阳合病,,柴胡桂枝汤,柴胡;桂枝;芍药;黄芩;人参;甘草;半夏;生姜;大枣,
http://www.tcm-classics.org/jingfang#XiongxieMan_instance;http://www.tcm-classics.org/jingfang#Ou_instance;http://www.tcm-classics.org/jingfang#RipuChaore_instance;http://www.tcm-classics.org/jingfang#Weixiali_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,少阳病,,柴胡加芒硝汤,柴胡;黄芩;人参;半夏;甘草;生姜;大枣;芒硝,
http://www.tcm-classics.org/jingfang#Xiongman_instance;http://www.tcm-classics.org/jingfang#Fanjing_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance;http://www.tcm-classics.org/jingfang#Zhanwang_instance;http://www.tcm-classics.org/jingfang#Yishenjinzhong_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,少阳病,,柴胡加龙骨牡蛎汤,柴胡;龙骨;牡蛎;黄芩;生姜;铅丹;人参;桂枝;茯苓;半夏;大黄;大枣,
http://www.tcm-classics.org/jingfang#Sini_instance;http://www.tcm-classics.org/jingfang#Futong_instance;http://www.tcm-classics.org/jingfang#Xieli_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,少阴病,,四逆散,柴胡;芍药;枳实;甘草,
http://www.tcm-classics.org/jingfang#Zixiali_instance;http://www.tcm-classics.org/jingfang#Shenre_instance;http://www.tcm-classics.org/jingfang#Kouku_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,太阳少阳合病,,黄芩汤,黄芩;芍药;甘草;大枣,
http://www.tcm-classics.org/jingfang#XinxiaPiying_instance;http://www.tcm-classics.org/jingfang#XialiBuzhi_instance;http://www.tcm-classics.org/jingfang#FareEhan_instance,http://www.tcm-classics.org/jingfang#Fuxumai_instance,,,太阳太阴合病,,桂枝人参汤,桂枝;人参;白术;干姜;甘草,
http://www.tcm-classics.org/jingfang#Fuzhangman_instance;http://www.tcm-classics.org/jingfang#AnzhiButong_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,太阴病,,厚朴生姜半夏甘草人参汤,厚朴;生姜;半夏;甘草;人参,
http://www.tcm-classics.org/jingfang#FuzhongJitong_instance;http://www.tcm-classics.org/jingfang#Xinji_instance;http://www.tcm-classics.org/jingfang#Fan_instance,http://www.tcm-classics.org/jingfang#XianSemai_instance,,,太阴病,,小建中汤,桂枝;芍药;甘草;生姜;大枣;饴糖,
http://www.tcm-classics.org/jingfang#XinxiongDahanTong_instance;http://www.tcm-classics.org/jingfang#OuBuNengYinshi_instance;http://www.tcm-classics.org/jingfang#FuzhongHan_instance,http://www.tcm-classics.org/jingfang#ChenXianmai_instance,,,太阴病,,大建中汤,蜀椒;干姜;人参;饴糖,
http://www.tcm-classics.org/jingfang#XialiQinggu_instance;http://www.tcm-classics.org/jingfang#ShouzuJueni_instance;http://www.tcm-classics.org/jingfang#MianChi_instance;http://www.tcm-classics.org/jingfang#ShenBuEhan_instance,http://www.tcm-classics.org/jingfang#Weiyujuemai_instance,,,少阴病,,通脉四逆汤,附子;干姜;甘草,
http://www.tcm-classics.org/jingfang#XialiQinggu_instance;http://www.tcm-classics.org/jingfang#MianChi_instance;http://www.tcm-classics.org/jingfang#Ehan_instance,http://www.tcm-classics.org/jingfang#Weimai_instance,,,少阴病,,白通汤,葱白;干姜;附子,
http://www.tcm-classics.org/jingfang#BeiEhan_instance;http://www.tcm-classics.org/jingfang#Shentong_instance;http://www.tcm-classics.org/jingfang#ShouzuHan_instance;http://www.tcm-classics.org/jingfang#Gujietong_instance,http://www.tcm-classics.org/jingfang#Chenweimai_instance,,,少阴病,,附子汤,附子;茯苓;人参;白术;芍药,
http://www.tcm-classics.org/jingfang#Shiguyuou_instance;http://www.tcm-classics.org/jingfang#Tuli_instance;http://www.tcm-classics.org/jingfang#ShouzuNileng_instance;http://www.tcm-classics.org/jingfang#FanzaoYusi_instance;http://www.tcm-classics.org/jingfang#GanouTuxianmo_instance;http://www.tcm-classics.org/jingfang#Toutong_instance,http://www.tcm-classics.org/jingfang#Chenxianmai_instance,,,少阴病,,吴茱萸汤,吴茱萸;人参;生姜;大枣,
http://www.tcm-classics.org/jingfang#XialiBiannongxue_instance;http://www.tcm-classics.org/jingfang#Futong_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Chenweimai_instance,,,少阴病,,桃花汤,赤石脂;干姜;粳米,
http://www.tcm-classics.org/jingfang#XinzhongFan_instance;http://www.tcm-classics.org/jingfang#BudeWo_instance,http://www.tcm-classics.org/jingfang#Xishumai_instance,,,少阴病,,黄连阿胶汤,黄连;黄芩;芍药;阿胶;鸡子黄,
http://www.tcm-classics.org/jingfang#Xiali_instance;http://www.tcm-classics.org/jingfang#Yantong_instance;http://www.tcm-classics.org/jingfang#Xiongman_instance;http://www.tcm-classics.org/jingfang#Xinfan_instance,http://www.tcm-classics.org/jingfang#Xishumai_instance,,,少阴病,,猪肤汤,猪肤;白蜜;白粉,
http://www.tcm-classics.org/jingfang#Yantong_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,少阴病,,甘草汤,甘草,
http://www.tcm-classics.org/jingfang#Yantong_instance;http://www.tcm-classics.org/jingfang#Kesou_instance;http://www.tcm-classics.org/jingfang#Tunong_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,少阴病,,桔梗汤,桔梗;甘草,
http://www.tcm-classics.org/jingfang#Relixiazhong_instance;http://www.tcm-classics.org/jingfang#XialiNongxue_instance;http://www.tcm-classics.org/jingfang#Kouke_instance,http://www.tcm-classics.org/jingfang#Xianshumai_instance,,,厥阴病,,白头翁汤,白头翁;黄柏;黄连;秦皮,
http://www.tcm-classics.org/jingfang#ShouzuJuehan_instance;http://www.tcm-classics.org/jingfang#MaiXiYujue_instance,http://www.tcm-classics.org/jingfang#Xiruomai_instance,,,厥阴病,,当归四逆汤,当归;桂枝;芍药;细辛;甘草;通草;大枣,
http://www.tcm-classics.org/jingfang#ShouzuJuehan_instance;http://www.tcm-classics.org/jingfang#NeiYouJiuhan_instance;http://www.tcm-classics.org/jingfang#Ou_instance;http://www.tcm-classics.org/jingfang#Futong_instance,http://www.tcm-classics.org/jingfang#Xiruomai_instance,,,厥阴病,,当归四逆加吴茱萸生姜汤,当归;桂枝;芍药;细辛;甘草;通草;大枣;吴茱萸;生姜,
