fj:WuLingSan,五苓散证,lj:Taiyang_Instance,"zz:XiaoBianBuLi,zz:KeErYuYin,zz:FaRe",mx:Pulse_Fu,,,jj:WaterRetention,【7.42】
fj:TaoHeChengQiTang,桃核承气汤证,lj:Taiyang_Instance,"zz:RuKuang,zz:ShaoFuJiJie",,,jj:BloodStasis,【7.78】,
fj:DiDangTang,抵当汤证,lj:Taiyang_Instance,"zz:FaRe,zz:ShaoFuJiJie",mx:Pulse_Chen,,,jj:BloodStasis,【7.96】
fj:DiDangWan,抵当丸证,lj:Taiyang_Instance,"zz:ShaoFuMan,zz:XiaoBianZiLi",,,jj:BloodStasis,【7.98】,
fj:DaXianXiongTang,大陷胸汤证,lj:Taiyang_Instance,"zz:XinXiaPi,zz:FuManJuAn,zz:ShenRe,zz:WuHan",mx:Pulse_Chen_Jin,,,【8.13】,
fj:BaiHuTang,白虎汤证,lj:Yangming_Instance,"zz:ShenRe,zz:DaKe,zz:HanChu,zz:BuEhanFanEre",mx:Pulse_Hong,,,【8.52】,
fj:BaiHuJiaRenShenTang,白虎加人参汤证,lj:Yangming_Instance,"zz:ShenRe,zz:DaKe,zz:HanChu,zz:BeiWeiEHan,zz:FanZao",mx:Pulse_Hong,sx:SheJiang,,【8.46】,
fj:TiaoWeiChengQiTang,调胃承气汤证,lj:Yangming_Instance,"zz:XinFan,zz:ShenRe,zz:DaBianNan",,,,【9.30】,
fj:XiaoChengQiTang,小承气汤证,lj:Yangming_Instance,"zz:HanChu,zz:ZhanYu,zz:DaBianYing",mx:Pulse_Hua,,,jj:FoodStagnation,【9.36】
fj:DaChengQiTang,大承气汤证,lj:Yangming_Instance,"zz:ChaoRe,zz:ZhanYu,zz:FuManJuAn,zz:DaBianNan,zz:ShouZuJiRanHanChu",mx:Pulse_Chi,,,jj:FoodStagnation,【9.31】
fj:MaZiRenWan,麻子仁丸证,lj:Yangming_Instance,"zz:DaBianYing,zz:XiaoBianShu",mx:Pulse_Fu_Se,,,【9.71】,
fj:MiJianDao,蜜煎导方,lj:Yangming_Instance,zz:DaBianYing,,,,【9.57】,
fj:ZhiZiChiTang,栀子豉汤证,lj:Yangming_Instance,"zz:XinZhongAoNong,zz:XuFan,zz:JianAn,zz:HanChu",,sx:SheShangTaiHua,,【9.52】,
fj:YinChenHaoTang,茵陈蒿汤证,lj:Yangming_Instance,"zz:HuangDan,zz:XiaoBianBuLi,zz:FuMan",,,jj:Re,【9.83】,
fj:ZhiZiBoPiTang,栀子柏皮汤证,lj:Yangming_Instance,"zz:HuangDan,zz:FaRe",,,jj:Re,【9.84】,
fj:MaHuangLianQiaoChiXiaoDouTang,麻黄连轺赤小豆汤证,lj:Yangming_Instance,"zz:HuangDan,zz:ShenRe,zz:XiaoBianBuLi",,,jj:Shi,【9.85】,
fj:XiaoChaiHuTang,小柴胡汤证,lj:Shaoyang_Instance,"zz:WangLaiHanRe,zz:XiongXieKuMan,zz:MomoBuYuYinShi,zz:XinFanXiOu,zz:KouKu,zz:YanGan,zz:MuXuan",mx:Pulse_Xian,,,【7.68】,
pattern_id,pattern_name,liujing,symptom_list,pulse_list,tongue_list,jianjia_list,clause,
fj:DaChaiHuTang,大柴胡汤证,lj:Shaoyang_Instance,"zz:GanOu,zz:XinXiaPi,zz:FuManJuAn,zz:ChaoRe",,,jj:QiStagnation,【7.75】,
fj:ChaiHuJiaMangXiaoTang,柴胡加芒硝汤证,lj:Shaoyang_Instance,"zz:XiongXieKuMan,zz:GanOu,zz:ChaoRe",,,,【7.76】,
fj:ChaiHuJiaLongGuMuLiTang,柴胡加龙骨牡蛎汤证,lj:Shaoyang_Instance,"zz:XiongMan,zz:FanZao,zz:JingKong,zz:XiaoBianBuLi,zz:ZhanYu,zz:ShenTiTengTong",,,,【7.79】,
fj:GuiZhiQuShaoYaoJiaMuLiLongGuJiuNiTang,桂枝去芍药加牡蛎龙骨救逆汤证,lj:Taiyang_Instance,"zz:JingKuang,zz:WoQiBuAn",,,,【7.84】,
fj:GuiZhiJiaGuiTang,桂枝加桂汤证,lj:Taiyang_Instance,zz:QiCongShaoFuShangChongXin,,,,【7.90】,
fj:GuiZhiGanCaoLongGuMuLiTang,桂枝甘草龙骨牡蛎汤证,lj:Taiyang_Instance,zz:FanZao,,,,【7.91】,
fj:DaXianXiongWan,大陷胸丸证,lj:Taiyang_Instance,"zz:TouXiangQiangTong,zz:RouJing",,,,【8.9】,
fj:XiaoXianXiongTang,小陷胸汤证,lj:Taiyang_Instance,"zz:XinXiaPi,zz:AnZhiZeTong",mx:Pulse_Fu_Hua,,,【8.17】,
fj:WenHaSan,文蛤散证,lj:Taiyang_Instance,"zz:RouShangSuQi,zz:YiYuYinShui,zz:FanBuKe",,,,【8.20】,
fj:BaiSan,白散证,lj:Taiyang_Instance,"zz:HanShiJieXiong,zz:WuReZheng",,,,【8.20】,
fj:ChaiHuGuiZhiTang,柴胡桂枝汤证,lj:Shaoyang_Instance,"zz:FaRe,zz:WeiEHan,zz:ShenTiTengTong,zz:GanOu,zz:XinXiaPi",,,,【8.25】,
fj:ChaiHuGuiZhiGanJiangTang,柴胡桂枝干姜汤证,lj:Shaoyang_Instance,"zz:XiongXieKuMan,zz:XiaoBianBuLi,zz:KeErBuYuYin,zz:DanTouHanChu,zz:WangLaiHanRe,zz:XinFan",,,,【8.26】,
fj:BanXiaXieXinTang,半夏泻心汤证,lj:Shaoyang_Instance,"zz:XinXiaPi,zz:GanOu,zz:ZiLi",,,,【8.28】,
fj:ShiZaoTang,十枣汤证,lj:Taiyang_Instance,"zz:XinXiaPi,zz:TouTong,zz:GanOu,zz:HanChu",,,jj:WaterRetention,【8.31】,
fj:DaHuangHuangLianHuangQinXieXinTang,大黄黄连黄芩泻心汤证,lj:Taiyang_Instance,"zz:XinXiaPi,zz:AnZhiRu",mx:Pulse_GuanShangFuDa,,,【8.33】,
fj:FuZiXieXinTang,附子泻心汤证,lj:Taiyang_Instance,"zz:XinXiaPi,zz:EHan,zz:HanChu",,,,【8.34】,
fj:ShengJiangXieXinTang,生姜泻心汤证,lj:Taiyang_Instance,"zz:XinXiaPi,zz:GanOu,zz:ShiFu,zz:XieXiaYouShuiQi,zz:ZiLi",,,,【8.36】,
fj:GanCaoXieXinTang,甘草泻心汤证,lj:Taiyang_Instance,"zz:XinXiaPi,zz:GanOu,zz:XinFan,zz:ZiLi",,,,【8.37】,
fj:ChiShiZhiYuYuLiangTang,赤石脂禹余粮汤证,lj:Taiyang_Instance,"zz:ZiLi,zz:XinXiaPi",,,,【8.38】,
fj:XuanFuDaiZheTang,旋覆代赭汤证,lj:Taiyang_Instance,"zz:XinXiaPi,zz:YiQi",,,,【8.40】,
fj:GuiZhiRenShenTang,桂枝人参汤证,lj:Taiyang_Instance,"zz:ZiLi,zz:XinXiaPi",,,,【8.41】,
fj:GuaDiSan,瓜蒂散证,lj:Taiyang_Instance,"zz:XiongZhongPi,zz:QiShangChongYanHou,zz:BuDeXi",,,,【8.44】,
fj:HuangQinTang,黄芩汤证,lj:Shaoyang_Instance,zz:ZiLi,,,,【8.50】,
fj:HuangQinJiaBanXiaShengJiangTang,黄芩加半夏生姜汤证,lj:Shaoyang_Instance,"zz:ZiLi,zz:GanOu",,,,【8.50】,
fj:HuangLianTang,黄连汤证,lj:Taiyang_Instance,"zz:FuTong,zz:YuOu",,,,【8.51】,
fj:ZhiGanCaoTang,炙甘草汤证,lj:Taiyang_Instance,zz:XinDongJi,mx:Pulse_Jie,,,【8.53】,
fj:BaiMiJian,白蜜煎证,lj:Yangming_Instance,"zz:TouTong,zz:DuanQi,zz:ChaoRe",,,,【9.56】,
fj:ZhuDanZhiDao,猪胆汁导证,lj:Yangming_Instance,"zz:DaBianYing,zz:JinYeNeiJie",,,,【9.57】,
fj:WuZhuYuTang,吴茱萸汤证（阳明）,lj:Yangming_Instance,zz:ShiGuYuOu,,,,【9.67】,
fj:XiaoBanXiaTang,小半夏汤证,lj:Yangming_Instance,zz:Ou,,,,【9.67】,
pattern_id,pattern_name,liujing,symptom_list,pulse_list,tongue_list,jianjia_list,clause,
fj:ZhiZiDaHuangTang,栀子大黄汤证,lj:Yangming_Instance,"zz:HuangDan,zz:FaRe,zz:XinZhongAoNong,zz:ReTong",,,jj:Shi,【9.87】,
fj:ZhuGaoFaJian,猪膏发煎证,lj:Yangming_Instance,"zz:HuangDan,zz:JinYeKuZao,zz:SeAnBuMing",,,,【9.88】,
fj:DaHuangXiaoShiTang,大黄硝石汤证,lj:Yangming_Instance,"zz:HuangDan,zz:FuMan,zz:XiaoBianBuLi,zz:ZiHan",,,,【9.89】,
fj:GuiZhiJiaHuangQiTang,桂枝加黄芪汤证,lj:Taiyang_Instance,"zz:HuangHan,zz:LiangJingLeng,zz:YaoYiShangHanChu,zz:YaoKuiChiTong",,,,【9.92】,
fj:XiaoJianZhongTang,小建中汤证（阳明）,lj:Yangming_Instance,"zz:HuangDan,zz:XiaoBianZiLi,zz:XuLaoLiJi,zz:FuTong",,,,【9.93】,
fj:LiZhongTang,理中汤证（阳明）,lj:Yangming_Instance,"zz:FuTongRaoQi,zz:GuQiBuXing",,,,【9.98】,
fj:HouPoQiWuTang,厚朴七物汤证,lj:Yangming_Instance,"zz:FaRe,zz:FuMan,zz:YinShiRuGu",,,【9.99】,,
fj:FuZiJingMiTang,附子粳米汤证,lj:Taiyin_Instance,"zz:FuZhongQieTong,zz:LeiMing,zz:NiMan,zz:OuTu",,,,【9.100】,
fj:DaJianZhongTang,大建中汤证,lj:Taiyin_Instance,"zz:FuZhongHanTong,zz:OuBuNengShi,zz:YouWuTuQi,zz:TongBuKeJin",,,,【9.101】,
fj:DaHuangFuZiXiXinTang,大黄附子细辛汤证,lj:Taiyin_Instance,"zz:FuMan,zz:XieXiaPianTong,zz:FaWeiRe",,,【9.102】,,
fj:ChaiHuShaoYaoZhiShiGanCaoTang,柴胡芍药枳实甘草汤证,lj:Shaoyang_Instance,"zz:QiShangNi,zz:XieXiaTong,zz:OuNi",,,【10.5】,,
fj:GuiZhiJiaShaoYaoTang,桂枝加芍药汤证,lj:Taiyin_Instance,zz:FuManShiTong,,,【10.17】,,
fj:GuiZhiJiaDaHuangTang,桂枝加大黄汤证,lj:Taiyin_Instance,zz:DaShiTong,,,【10.17】,,
fj:BaiZhuZhiShiGanJiangBaiMiTang,白术枳实干姜白蜜汤证,lj:Taiyin_Instance,"zz:DaBianFanYing,zz:FuZhongZhangMan",,,【10.19】,,
fj:HuangQiWuWuJiaGanJiangBanXiaTang,黄芪五物加干姜半夏汤证,lj:Taiyin_Instance,zz:DuanQi,,,【10.19】,,
fj:BanXiaFuLingTang,半夏茯苓汤证,lj:Taiyin_Instance,"zz:KeYuYinShui,zz:YinShuiJiTu",,,【10.20】,,
fj:RenShenBaiZhuShaoYaoGanCaoTang,人参白术芍药甘草汤证,lj:Taiyin_Instance,"zz:XiaLi,zz:KouKe",,,【10.21】,,
fj:HouPoSiWuTang,厚朴四物汤证,lj:Taiyin_Instance,zz:FuDaErZhang,,,【10.22】,,
fj:LiZhongJiaHuangQiTang,理中加黄芪汤证,lj:Taiyin_Instance,zz:YiShiWuDu,,,【10.23】,,
fj:GuiZhiQuShaoYaoJiaFuLingBaiZhuTang,桂枝去芍药加茯苓白术汤证,lj:Taiyin_Instance,"zz:YuTuBuTu,zz:XiaLiShiShu",,,【10.24】,,
fj:XiaoChaiHuJiaFuLingBaiZhuTang,小柴胡加茯苓白术汤证,lj:Taiyin_Instance,"zz:TuNi,zz:FuZhongLengTong,zz:LeiMingXiaLi",,,【10.25】,,
fj:HouPoZhiShiBaiZhuGanCaoTang,厚朴枳实白术甘草汤证,lj:Taiyin_Instance,"zz:YouSuShi,zz:DaBianTang",,,【10.26】,,
fj:MaHuangFuZiXiXinTang,麻黄附子细辛汤证,lj:Shaoyin_Instance,"zz:FaRe,zz:EHan",,,【11.21】,,
fj:MaHuangFuZiGanCaoTang,麻黄附子甘草汤证,lj:Shaoyin_Instance,zz:WeiFaRe,,,【11.22】,,
fj:HuangLianEJiaoTang,黄连阿胶汤证,lj:Shaoyin_Instance,"zz:XinFan,zz:BuDeWo",,,【11.23】,,
fj:FuZiTang,附子汤证,lj:Shaoyin_Instance,"zz:ShenTiTong,zz:ShouZuHan,zz:GuJieTong,zz:BeiEHan",,,【11.24】,,
fj:DangGuiSiNiTang,当归四逆汤证,lj:Shaoyin_Instance,zz:ShenTongRuChe,,,【11.26】,,
fj:TaoHuaTang,桃花汤证,lj:Shaoyin_Instance,zz:XiaLiBianNongXue,,,【11.27】,,
fj:ZhuFuTang,猪肤汤证,lj:Shaoyin_Instance,"zz:XiaLi,zz:YanTong,zz:XiongMan,zz:XinFan",,,【11.31】,,
fj:JieGengTang,桔梗汤证,lj:Shaoyin_Instance,zz:YanZhongTong,,,【11.32】,,
pattern_id,pattern_name,liujing,symptom_list,pulse_list,tongue_list,jianjia_list,clause,
fj:KuJiuTang,苦酒汤证,lj:Shaoyin_Instance,"zz:YanZhongShang,zz:ShengChuang,zz:TongYinHouPang,zz:ShiYin,zz:ShengBuChu",,,,【11.33】,
fj:BanXiaSanJiTang,半夏散及汤证,lj:Shaoyin_Instance,zz:YanZhongTong,,,,【11.34】,
fj:BaiTongTang,白通汤证,lj:Shaoyin_Instance,zz:XiaLi,,,,【11.35】,
fj:BaiTongJiaZhuDanZhiTang,白通加猪胆汁汤证,lj:Shaoyin_Instance,"zz:XiaLi,zz:LiBuZhi,zz:JueNiWuMai,zz:GanOuFan",,,,【11.36】,
fj:ZhenWuTang,真武汤证,lj:Shaoyin_Instance,"zz:FuTong,zz:XiaoBianBuLi,zz:SiZhiChenZhong,zz:ZiXiaLi",,,,【11.37】,
fj:TongMaiSiNiTang,通脉四逆汤证（少阴）,lj:Shaoyin_Instance,"zz:XiaLiQingGu,zz:LiHanWaiRe,zz:ShouZuJueNi,zz:MaiWeiYuJue,zz:ShenFanBuEHAN,zz:MianChi",,,,【11.38】,
fj:SiNiSan,四逆散证,lj:Shaoyin_Instance,"zz:SiZhiJueNi,zz:Ke,zz:Ji,zz:XiaoBianBuLi,zz:FuTong,zz:XieLiXiaZhong",,,,【11.39】,
fj:ZhuLingTang,猪苓汤证（少阴）,lj:Shaoyin_Instance,"zz:XiaLi,zz:Ke,zz:Ou,zz:Ke,zz:XinFanBuDeMian",,,,【11.40】,
fj:DaChengQiTang_JiXia,大承气汤证（少阴急下）,lj:Shaoyin_Instance,zz:KouZaoYanGan,,,,【11.41】,
fj:DaChengQiTang_ZiLiQingShui,大承气汤证（少阴自利清水）,lj:Shaoyin_Instance,"zz:ZiLiQingShui,zz:XinXiaBiTong,zz:KouGanZao",,,,【11.42】,
fj:DaChengQiTang_ZhangMan,大承气汤证（少阴腹胀）,lj:Shaoyin_Instance,zz:FuZhang,,,,【11.43】,
fj:SiNiTang_JiWen,四逆汤证（少阴脉沉）,lj:Shaoyin_Instance,zz:MaiChen,,,,【11.44】,
fj:WuMeiWan,乌梅丸证,lj:Jueyin_Instance,"zz:XiaoKe,zz:QiShangZhuangXin,zz:XinZhongTengRe,zz:JiErBuYuShi,zz:ShiZeTuHui",mx:Pulse_Xian,,,【11.47】,
fj:DangGuiSiNiJiaRenShenFuZiTang,当归四逆加人参附子汤证,lj:Jueyin_Instance,zz:ShouZuJueNi,,,,【11.72】,
fj:DangGuiSiNiJiaWuZhuYuShengJiangFuZiTang,当归四逆加吴茱萸生姜附子汤证,lj:Jueyin_Instance,zz:NeiYouJiuHan,,,,【11.72】,
fj:SiNiTang_Jueyin,四逆汤证（厥阴）,lj:Jueyin_Instance,"zz:DaHanChu,zz:ReBuQu,zz:NeiJuJi,zz:SiZhiTeng,zz:XiaLi,zz:JueNiErEHAN",,,,【11.73】,
fj:GuaDiSan_Jueyin,瓜蒂散证（厥阴）,lj:Jueyin_Instance,"zz:ShouZuJueLeng,zz:XinXiaMan,zz:Fan,zz:JiBuNengShi",,,,【11.75】,
fj:FuLingGanCaoTang,茯苓甘草汤证（厥阴）,lj:Jueyin_Instance,zz:JueErXinXiaJi,,,,【11.76】,
fj:RenShenFuZiTang,人参附子汤证,lj:Jueyin_Instance,"zz:YiXia,zz:YanHouBuLi,zz:TuNongXue",,,,【11.77】,
fj:MaHuangShengMaTang,麻黄升麻汤证,lj:Jueyin_Instance,"zz:HanGe,zz:TuXia",,,,【11.79】,
fj:GanJiangHuangQinHuangLianRenShenTang,干姜黄芩黄连人参汤证,lj:Jueyin_Instance,zz:ShiRuKouJiTu,,,,【11.79】,
fj:BaiTouWengTang,白头翁汤证（厥阴）,lj:Jueyin_Instance,"zz:ReLi,zz:XiaZhong",,,,【11.91】,
fj:BaiTouWengJiaEJiaoGanCaoTang,白头翁加阿胶甘草汤证,lj:Jueyin_Instance,"zz:XiaLi,zz:XuJi",,,,【11.92】,
fj:XiaoChengQiTang_Jueyin,小承气汤证（厥阴）,lj:Jueyin_Instance,"zz:XiaLi,zz:ZhanYu",,,,【11.95】,
fj:ZhiZiChiTang_Jueyin,栀子豉汤证（厥阴）,lj:Jueyin_Instance,"zz:XiaLi,zz:GengFan,zz:AnZhiXinXiaRu",,,,【11.96】,
fj:ZiCanTang,紫参汤证,lj:Jueyin_Instance,"zz:XiaLi,zz:FuTong",,,,【11.97】,
fj:HeLiLeSan,诃黎勒散证,lj:Jueyin_Instance,zz:QiLi,,,,【11.98】,
fj:JuPiTang,橘皮汤证,lj:Jueyin_Instance,"zz:GanOu,zz:ShouZuJue",,,,【11.108】,
fj:JuPiZhuRuTang,橘皮竹茹汤证,lj:Jueyin_Instance,"zz:NiNi,zz:Xu",,,,【11.109】,
fj:XiaoBanXiaTang_ZhuOu,小半夏汤证（诸呕）,lj:Jueyin_Instance,"zz:ZhuOu,zz:GuBuDeXia",,,,【11.110】,
fj:HuangLianFuLingTang,黄连茯苓汤证,lj:Jueyin_Instance,"zz:BianNongXue,zz:ChuanWeiWeiBing",,,,【11.111】,
fj:GanCaoFenMiTang,甘草粉蜜汤证,lj:Jueyin_Instance,"zz:TuOuXianMo,zz:XinTong,zz:FuTong,zz:FaZuoYouShi",,,,【11.112】,
fj:DaWuTouJian,大乌头煎证,lj:Jueyin_Instance,"zz:HanShan,zz:RaoQiErTong,zz:ShouZuJueLeng",,,,【11.113】,
fj:DangGuiShengJiangYangRouTang,当归生姜羊肉汤证,lj:Jueyin_Instance,"zz:HanShan,zz:FuZhongTong,zz:XieTongLiJi",,,,【11.114】,
fj:WuTouGuiZhiTang,乌头桂枝汤证,lj:Jueyin_Instance,"zz:HanShan,zz:FuZhongTong,zz:ShouZuBuRen,zz:NiLeng,zz:ShenTiTengTong",,,,【11.115】,
fj:ZhiZhuSan,蜘蛛散证,lj:Jueyin_Instance,"zz:GuShan,zz:PianYouDaXiao,zz:ShiYouShangXia",,,,【11.116】,
fj:ShenQiWan,肾气丸证,lj:Shaoyin_Instance,"zz:XiaoKe,zz:XiaoBianDuo,zz:YinDouYiDou",,,,【11.119】,
fj:WuLingSan_XiaoKe,五苓散证（消渴）,lj:Taiyang_Instance,"zz:XiaoKe,zz:XiaoBianBuLi",,,,【11.120】,
fj:FuLingZeXieTang,茯苓泽泻汤证,lj:Taiyang_Instance,"zz:XiaoKe,zz:WeiFanErTu",,,,【11.121】,
fj:WenHaTang,文蛤汤证,lj:Taiyang_Instance,"zz:XiaoKe,zz:ShiBuXiuXi",,,,【11.122】,
